Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q11	Q12	age	gender	accuracy	country
1	1	5	4	5	2	2	2	4	5	4	4	28	1	80	NL
4	4	1	1	4	4	4	5	4	2	2	3	18	1	50	US
4	4	2	2	4	4	5	3	1	2	2	3	22	2	90	US
4	4	4	4	4	4	4	4	4	2	2	4	35	1	90	US
4	4	1	2	5	4	4	4	2	2	3	2	21	1	80	US
4	5	3	3	4	5	5	4	2	2	2	2	30	1	21	US
3	3	2	2	3	4	4	3	2	2	2	3	42	2	70	US
1	1	5	5	5	1	2	2	4	5	4	4	14	1	90	US
4	2	4	4	4	2	4	3	1	4	2	5	20	2	87	US
3	2	4	4	2	4	4	3	1	2	3	4	31	1	90	IE
5	5	1	1	1	5	5	5	1	1	4	3	32	1	100	TR
4	1	4	4	4	4	4	4	3	4	4	3	19	1	95	CA
4	4	3	1	2	5	4	3	3	2	2	2	43	2	95	US
2	1	4	2	1	2	4	3	4	4	4	4	49	2	75	US
4	4	2	2	2	4	4	3	2	2	2	1	36	2	95	GB
4	4	2	1	3	4	5	5	3	2	2	2	38	2	96	US
5	3	1	1	4	5	5	5	1	1	1	1	14	1	100	US
4	4	2	0	2	1	5	4	1	1	1	2	33	1	95	JP
2	1	4	4	4	1	4	4	5	4	2	2	30	2	85	CA
4	5	4	3	4	2	2	3	1	2	2	4	16	1	60	GB
4	4	3	2	4	5	4	4	3	2	3	4	15	2	75	US
4	4	2	1	2	4	4	5	1	3	1	1	22	1	100	CA
2	3	2	4	4	4	4	2	1	3	2	4	25	2	90	US
2	1	4	4	4	5	2	2	4	2	4	3	21	2	96	US
4	4	4	2	4	4	3	3	4	4	4	4	34	2	90	EG
4	1	2	1	4	4	5	4	1	1	1	2	42	1	100	US
5	5	1	2	4	4	4	4	2	1	2	2	23	1	90	AU
4	2	1	2	4	4	4	4	2	2	3	3	17	1	70	US
2	2	4	4	4	4	5	3	1	1	1	1	65	2	85	US
4	5	2	1	5	4	5	4	3	2	1	1	25	1	80	TR
4	3	3	2	4	5	4	4	2	1	2	3	26	1	72	US
4	3	4	4	2	2	2	4	2	3	2	4	43	2	95	US
2	5	4	3	5	4	4	4	4	4	4	3	29	1	90	US
4	2	2	2	4	4	5	5	1	4	4	4	33	2	80	US
4	5	1	1	5	5	5	5	1	1	1	3	20	2	90	PH
2	2	4	4	2	2	5	2	1	2	2	2	20	2	90	SG
4	4	4	4	2	5	3	2	4	2	4	3	22	1	80	US
4	3	2	2	4	4	4	3	2	3	2	3	16	2	100	US
2	5	3	1	4	4	5	2	1	4	2	4	22	2	80	MY
4	1	3	4	5	2	5	2	1	2	5	4	22	1	70	US
4	5	2	2	4	5	5	3	2	2	2	3	24	2	95	US
5	2	3	2	4	5	5	3	1	1	4	3	16	2	75	US
4	3	1	2	2	4	5	5	1	1	2	2	19	2	90	SG
4	3	2	2	4	5	4	4	2	2	1	3	25	1	77	IN
5	3	3	2	4	4	4	4	4	2	2	2	24	1	80	PL
2	4	1	2	2	5	5	4	2	2	1	3	41	1	75	GB
4	4	2	2	5	2	5	3	1	2	2	3	33	1	65	US
5	3	3	4	4	4	5	3	2	1	3	3	27	1	70	PL
4	4	2	2	4	4	4	4	2	2	1	2	36	2	95	US
5	5	1	1	3	5	3	4	1	1	1	3	51	1	80	US
5	5	2	2	4	4	5	5	2	1	1	2	33	2	100	US
4	4	2	1	3	3	4	4	2	2	1	2	44	1	95	US
5	5	1	1	1	5	5	1	1	1	1	5	16	1	99	SE
4	3	4	2	4	4	4	5	2	4	2	2	20	1	90	US
4	4	2	4	2	3	4	1	2	3	2	4	20	2	80	IN
2	4	4	4	4	4	4	2	4	4	3	2	26	2	80	PL
2	1	4	4	5	2	2	2	4	5	5	4	19	1	87	US
5	5	1	1	4	5	5	3	3	2	1	2	26	2	50	US
3	2	5	5	5	2	4	2	2	5	5	5	37	2	98	PT
4	4	3	2	2	4	4	4	4	4	2	2	52	1	85	US
3	1	4	1	2	5	3	2	4	4	1	3	32	1	80	US
5	4	2	2	4	4	4	4	2	2	1	3	34	1	95	GR
2	1	5	5	5	2	3	4	2	4	4	4	24	1	80	SG
